id,name,ingredients,allergensraw,allergensmapped,,link
14, Insalatissime Messicana e Tonno Rio Mare," tuna , red beans , corn , corn oil, peppers , carrots , salt, flavorings", fish,fish,, https://world.openfoodfacts.org/product/8004030026018/insalatissime-messicana-e-tonno-160-gr-rio-mare
15, Bebida de soja UHT Hacendado," water, soybeans , sugar, calcium carbonate, salt, stabilizer gellan gum, flavorings, vitamins a and d", soybeans,soy,, https://world.openfoodfacts.org/product/8480000293145/bebida-de-soja-uht-hacendado 
16, Organic Tamari Soy Sauce Yutaka," water, organic soybeans , salt, organic spirit vinegar", soybeans,soy,, https://world.openfoodfacts.org/product/5014276308505/organic-tamari-soy-sauce-yutaka 
17, Hazelnuts Stutz Packing Co, hazelnuts, nuts (hazelnuts),tree nut,, https://world.openfoodfacts.org/product/0715001111722/hazelnuts-stutz-packing-co 
18, Marty's Crackling Plain Salted Oishi," dehydrated green peas, vegetable oil may contain coconut oil andor palm olein, tapioca starch, dehydrated potatoes, salt, sugar, hydrolyzed soy protein, monosodium glutamate, disodium inosinate, disodium guanylate, spices, tbhq", soy,soy,, https://world.openfoodfacts.org/product/4800194179881/marty-s-crackling-plain-salted-oishi 
19, Almonds Grape Tree, almonds, nuts (almonds),tree nut,, https://world.openfoodfacts.org/product/5060339018768/almonds-grape-tree
20, Fish Fingers Birds Eye," cod fish , wheat flour, water, rapeseed oil, wheat starch, salt, yeast, turmeric, paprika"," fish, wheat","fish, wheat",, https://world.openfoodfacts.org/product/5000116128921/fish-fingers-birds-eye 
21, Crevette Panees Lidl," shrimp shellfish , wheat flour, water, rapeseed oil, modified corn starch, rice flour, salt, yeast, sugar, onion powder, garlic powder"," shellfish, wheat","shellfish, wheat",, https://world.openfoodfacts.org/product/4056489676706/crevette-panees-lidl 
22, Kiri Carre 8p," milk, cream, water, milk proteins, emulsifying salts polyphosphates, sodium phosphates, citric acid, salt", milk,milk,, https://world.openfoodfacts.org/product/6111028000980/kiri-carre-8p 
23, Double Zero Cerise Danone," skimmed milk, cherries , modified maize starch, flavorings, black carrot juice concentrate, acidity regulators sodium citrate, citric acid, stabilizer pectin, lactic cultures milk, sweeteners acesulfame k, sucralose", milk,milk,, https://world.openfoodfacts.org/product/6111032010135/double-zero-cerise-danone 
24, Babybel," milk, salt, lactic ferments, microbial coagulant", milk,milk,, https://world.openfoodfacts.org/product/3073780918763/babybel 
25, La Buche Fondante Lactalis," pasteurized goats milk, salt, cultures, coagulant", milk,milk,, https://world.openfoodfacts.org/product/3228021170053/la-buche-fondante-lactalis 
26, Lait 100 Francais Matin Leger Demi Ecreme Lactel," semiskimmed milk, lactase", milk,milk,, https://world.openfoodfacts.org/product/3428273980046/lait-100-francais-matin-leger-demi-ecreme-lactel
27,Tortellini Jambon Cru Lustucru,"pasta  durum wheat semolina, fresh eggs from freerange hens , water filling  cured ham pork ham, salt , water, breadcrumbs wheat flour, water, salt, yeast, crme frache , dehydrated potatoesspice turmeric, hard cheese, whey milk, rapeseed andor sunflower oil, natural flavorings wheat, milk, pasteurized butter, salt, basil, pepper, nutmeg"," eggs, gluten, milk","egg, milk",,https://world.openfoodfacts.org/product/3240931548241/tortellini-jambon-cru-lustucru
28, Medium Egg Noodles Aldi," wheat flour, egg , salt, acidity regulator potassium carbonate"," wheat, egg","wheat, egg",, https://world.openfoodfacts.org/product/4088600401096/medium-egg-noodles-aldi 
29, Mayonnaise Classique Lesieur," rapeseed oil , water, spirit vinegar, egg yolks , mustard water, mustard seeds, vinegar, salt, spices, flavorings, salt, sugar, modified starch, thickener xanthan gum"," egg, mustard",egg,, https://world.openfoodfacts.org/product/3011360030474/mayonnaise-classique-lesieur 
30, Blueberry Muffin Myrtilles Nakd," dates , cashews , raisins , almonds , blueberries , natural flavoring", nuts,tree nut,, https://world.openfoodfacts.org/product/5060088706534/blueberry-muffin-myrtilles-nakd 
31, Penne Rigate n.73 Barilla," durum wheat semolina, water", wheat,wheat,, https://world.openfoodfacts.org/product/8076802085738/penne-rigate-n-73-barilla 
32, All-Bran Original Kellogg's," wheat bran , sugar, barley malt flavoring, salt"," wheat, barley",wheat,, https://world.openfoodfacts.org/product/5000127142190/all-bran-original-kellogg 
33, Wraps Old El Paso," wheat flour , water, glycerin, vegetable oils palm, rapeseed, wheat gluten, salt, dextrose, raising agents sodium acid pyrophosphate, sodium bicarbonate, emulsifier mono and diglycerides of fatty acids, preservative potassium sorbate, calcium propionate, citric acid", wheat,wheat,, https://world.openfoodfacts.org/product/8410076472953/wraps-old-el-paso 
34, White Tortilla Wraps Tesco," wheat flour, water, vegetable oils palm, rapeseed, humectant glycerol, wheat gluten, raising agents sodium bicarbonate, disodium diphosphate, acidity regulator malic acid, salt, stabilisers guar gum, cellulose gum, wheat starch, flour treatment agent lcysteine hydrochloride", wheat,wheat,, https://world.openfoodfacts.org/product/5057967342044/white-tortilla-wraps-tesco 
35, Malted Bloomer Village Bakery," wheat flour, water, malted wheat flakes , yeast, wheat gluten, barley malt flour, salt, emulsifier mono and diacetyl tartaric acid esters of mono and diglycerides of fatty acids, soya flour, flour treatment agent ascorbic acid"," wheat, barley, soya","wheat, soy",, https://world.openfoodfacts.org/product/4088600184197/malted-bloomer-village-bakery 
36, Menguy's Peanut 100, peanuts, peanut,peanut,, https://world.openfoodfacts.org/product/3327272107969/menguy-s-peanut-100 
37, Pate d'Arachide, roasted peanuts, peanut,peanut,, https://world.openfoodfacts.org/product/8198701234564/250623-pate-d-arachide 
38, Crunchy Peanut Butter Whole Earth," roasted peanuts , sustainable palm oil, sea salt", peanut,peanut,, https://world.openfoodfacts.org/product/5013665108801/crunchy-peanut-butter-whole-earth 
39, Crunchy Peanut Butter Meridian, roasted peanuts whole skin on , peanut,peanut,, https://world.openfoodfacts.org/product/5014213711290/crunchy-peanut-butter-meridian 
40, Beurre de cacahuetes Whole Earth," roasted peanuts , sustainable palm oil, sea salt", peanut,peanut,, https://world.openfoodfacts.org/product/5013665115571/beurre-de-cacahuetes-whole-earth 
41, Super Nutty Wholefood M&S," peanuts , sultanas, raisins, almonds , cashew nuts , roasted hazelnuts , pumpkin seeds, sunflower seeds"," peanut, almonds, cashew nuts, hazelnuts","peanut, tree nut",, https://world.openfoodfacts.org/product/00797016/super-nutty-wholefood-m-s
42, Spaghetti prawns and black pepper sauce S&P," cooked spaghetti , water, prawns shellfish , garlic, black pepper , soy sauce soybeans, wheat, oyster sauce molluscs, sugar, modified starch, salt"," shellfish, soybeans, wheat, molluscs","shellfish, soy, wheat",, https://world.openfoodfacts.org/product/8850231800861/spaghetti-prawns-and-black-pepper-sauce-s-p 
43, 24 Escargots préparés à la bourguignonne Auchan," snail flesh molluscs , butter milk, garlic, parsley, salt, spices"," molluscs, milk",milk,, https://world.openfoodfacts.org/product/3596710441891/24-escargots-prepares-a-la-bourguignonne-belle-grosseur-auchan
44, Coq au Vin Auchan," chicken meat, wine sulphites, mushrooms, onions, carrots, wheat flour, bacon, salt, spices"," sulphites, wheat",wheat,, https://world.openfoodfacts.org/product/3596710411047/coq-au-vin-auchan 
45, Noix de St Jacques U, scallops molluscs, molluscs,,, https://world.openfoodfacts.org/product/3256220504997/noix-de-st-jacques-pecten-maximus-pechee-en-atlantique-nord-est-barquette-250g-u 
46, Coques au naturel Spanico," cockles molluscs, water, salt", molluscs,,, https://world.openfoodfacts.org/product/3760105569556/coques-au-naturel-spanico 
47, Raekju salat samlok Somi," shrimps shellfish , mayonnaise egg, mustard, asparagus, salt, spices"," shellfish, egg, mustard","shellfish, egg",, https://world.openfoodfacts.org/product/7799609723924/raekju-salat-samlok-somi 
48, 12 Escargots préparés Pouce," snail flesh molluscs , butter milk, garlic, parsley, salt"," molluscs, milk",milk,, https://world.openfoodfacts.org/product/3596710547807/12-escargots-prepares-a-la-bourguignonne-calibre-moyen-pouce 
49, Shrimp Cerviche Members Mark," shrimp shellfish, lime juice, tomatoes, onions, cilantro, salt, jalapenos", shellfish,shellfish,, https://world.openfoodfacts.org/product/0226700310250/shrimp-cerviche-members-mark 
50, Dark chocolate bar Eat Natural," dark chocolate cocoa mass, sugar, cocoa butter, emulsifier soya lecithin, cranberries, macadamias nuts, brazil nuts"," soya, macadamias, brazil nuts","soy, tree nut",, https://world.openfoodfacts.org/product/5013803666002/dark-chocolate-bar-with-cranberries-and-macadamias-eat-natural 
51, Macadamia Nut Brittle Haagen-Dazs," cream milk, skimmed milk, sugar, egg yolk, macadamia nut brittle macadamia nuts, sugar, coconut oil, butter, salt"," milk, egg, macadamia nuts","milk, egg, tree nut",, https://world.openfoodfacts.org/product/3415581122015/macadamia-nut-brittle-haagen-dazs
52, Soya Blueberry Vemondo," soya base water, hulled soya beans , sugar, blueberries , calcium tricalciumcitrate, stabiliser pectin, acidity regulators sodium citrates, citric acid, natural flavouring, sea salt, antioxidants fatty acid esters of ascorbic acid, tocopherolrich extract, yogurt cultures s thermophilus, l bulgaricus", soya,soy,, https://world.openfoodfacts.org/product/4056489466635/soya-blueberry-soijajogurtti-vemondo 
53, What The Cluck Vegan Chicken Style Chunks," soy base water, soy protein , natural flavourings, salt", soy,soy,, https://world.openfoodfacts.org/product/8718692786820/what-the-cluck-vegan-chicken-style-chunks-the-vegetarian-butcher 
54, Tofu Nature a Cuisiner Cereal Bio," water, soybeans , firming agents calcium sulfate, nigari", soybeans,soy,, https://world.openfoodfacts.org/product/3259011034000/tofu-nature-a-cuisiner-cereal-bio 
55, Tofu Suave de Seda Mori-Nu," water, soybeans , soy protein isolate , acidity regulator gluconodeltalactone, firming agent calcium chloride", soybeans,soy,, https://world.openfoodfacts.org/product/0085696000442/tofu-suave-de-seda-mori-nu 
56, Baresa High Protein Chickpea Soy Fettuccine," chickpea flour , soy flour ", soy,soy,, https://world.openfoodfacts.org/product/4056489961574/baresa-high-protein-chickpea-soy-fettuccine-37-6  
57, Like Grilled Chicken Like Meat," water, soy protein concentrate , sunflower oil, salt, spices", soy,soy,, https://world.openfoodfacts.org/product/4260380665039/like-grilled-chicken-like-meat 
58, Dessert Dark Chocolate Flavour Alpro," soya base water, hulled soya beans , sugar, fatreduced cocoa , modified starch, chocolate , calcium carbonate, flavouring, thickener carrageenan, sea salt, vitamins b, d", soya,soy,, https://world.openfoodfacts.org/product/5411188091622/dessert-dark-chocolate-flavour-alpro 
59, Sojasun a la Grecque Nature," soya juice water, hulled soya beans , selected ferments", soya,soy,, https://world.openfoodfacts.org/product/3273221093909/sojasun-a-la-grecque-nature 
60, Cadbury Chocolate Mini Rolls 10pk," milk chocolate sugar, cocoa butter, cocoa mass, skimmed milk powder, whey powder milk, milk fat, vegetable fats palm, shea, emulsifier soya lecithin, flavouring, sugar, wheat flour, glucosefructose syrup, vegetable oils palm, rapeseed, shea, egg, humectant glycerol, fat reduced cocoa powder, whey powder milk, soya flour, dried egg white, raising agents sodium bicarbonate, disodium diphosphate, salt, emulsifiers e, e, soya lecithin, milk proteins"," milk, wheat, soya, egg","milk, wheat, soy, egg",, https://world.openfoodfacts.org/product/5000221602606/cadbury-chocolate-mini-rolls-10pk 
61, Fish Sauce Blue Dragon," anchovy extract , salt, sugar, water", fish,fish,, https://world.openfoodfacts.org/product/5010338404383/fish-sauce-imp-blue-dragon 
62, Omega 3 Fish Fingers Ocean Sea," alaska pollock fish , wheat flour, rapeseed oil, water, salt, yeast, spices"," fish, wheat","fish, wheat",, https://world.openfoodfacts.org/product/4056489431039/omega-3-fish-fingers-ocean-sea 
63, Colin d'Alaska Sauce Provençale Carrefour," alaska pollock fish , water, tomato concentrate, onions, vegetable oils sunflower, rapeseed, modified corn starch, salt, sugar, herbs, spices", fish,fish,, https://world.openfoodfacts.org/product/3245414091238/colin-d-alaska-sauce-provencale-cmi-carrefour-marchandises-internationales 
64, Filets de Maquereaux Phare d'Eckmühl," mackerel fillets fish , organic muscadet wine sulphites, organic aromatics carrots, onions, lemon, pickles, salt"," fish, sulphites",fish,, https://world.openfoodfacts.org/product/3263670008517/filets-de-maquereaux-marines-au-muscadet-et-aux-aromates-bio-phare-d-eckmuhl 
65, Foie Morue Fumé Phare d'Eckmühl," smoked cod liver fish , salt", fish,fish,, https://world.openfoodfacts.org/product/3263670991314/foie-morue-fume-au-bois-de-hetre-phare-d-eckmuhl 
66, Batonnets Croustibat Findus," alaska pollock fish , wheat flour, water, vegetable oils rapeseed, sunflower, wheat starch, salt, yeast, spices"," fish, wheat","fish, wheat",, https://world.openfoodfacts.org/product/3599740007181/batonnets-croustibat-msc-findus 
67, California Gold Nutrition Omega-3 Fish Oil," fish oil concentrate anchovy, mackerel, sardine, gelatin fish, glycerin, water", fish,fish,, https://world.openfoodfacts.org/product/0898220009527/california-gold-nutrition-omega-3-premium-fish-oil 
68, Thunfisch Salat Mexicana Saupiquet," tuna fish , red beans, corn, corn oil, peppers, carrots, salt, flavourings", fish,fish,, https://world.openfoodfacts.org/product/3165950580860/thunfisch-salat-mexicana-saupiquet 
69, Salade Légumes et Thon Saupiquet," tuna fish , carrots, corn, peas, gherkins, spirit vinegar, sugar, salt, natural flavourings", fish,fish,, https://world.openfoodfacts.org/product/3165950222272/salade-legumes-et-thon-saupiquet
70, Ma Popote Mes Boulettes de Haricots Rouges Lesieur," red beans , onions, red peppers, wheat flour, sunflower oil, garlic, salt, spices", wheat,wheat,, https://world.openfoodfacts.org/product/3265470088881/ma-popote-mes-boulettes-de-haricots-rouges-lesieur 
71, Puree Sesame Blanc Tanin Jean Herve, hulled sesame seeds, sesame,sesame,, https://world.openfoodfacts.org/product/3390390001730/puree-sesame-blanc-tanin-jean-herve 
72, Gressins Sesame Marque Repere," wheat flour, sesame seeds , palm oil, yeast, salt, malted wheat flour"," sesame, wheat","sesame, wheat",, https://world.openfoodfacts.org/product/3564700401132/gressins-sesame-marque-repere 
73, Gressins au Sesame Bio Village," wheat flour, sesame seeds , sunflower oil, yeast, salt"," sesame, wheat","sesame, wheat",, https://world.openfoodfacts.org/product/3564707121439/gressins-au-sesame-bio-village 
74, Biscuits Tournesol Sesame Bio U," wheat flour, chocolate chips sugar, cocoa mass, cocoa butter, sunflower seeds , cane sugar, sunflower oil, sesame seeds , wheat syrup, raising agents ammonium carbonate, sodium carbonate, salt, lemon juice"," wheat, sesame","wheat, sesame",, https://world.openfoodfacts.org/product/3256228103932/biscuits-tournesol-sesame-bio-avec-pepites-de-chocolat-140g-u 
75, Galettes de Riz Complet au Sesame Auchan Bio," whole grain rice, sesame seeds , salt", sesame,sesame,, https://world.openfoodfacts.org/product/3596710519712/galettes-de-riz-complet-au-sesame-auchan-bio 
76, Crispy Chilli Oil with Peanuts and Sesame White Mausu," sunflower oil, peanuts , sesame seeds , chili flakes, tamari soy, salt, garlic, sea salt, sugar"," peanut, sesame, soy","peanut, sesame, soy",, https://world.openfoodfacts.org/product/5392000155503/crispy-chilli-oil-with-peanuts-and-sesame-white-mausu-peanut-r%C4%81yu 
77, Sesame Caramel Bar Korona," sesame seeds , caramel sugar, glucose syrup", sesame,sesame,, https://world.openfoodfacts.org/product/8719324585026/sesame-caramel-bar-korona 
78, Sesame Bar Eridanous," sesame seeds , glucose syrup, sugar", sesame,sesame,, https://world.openfoodfacts.org/product/20110475/sesame-bar-eridanous 
79, Knacke au Sesame Pural," whole rye flour, sesame seeds , salt"," sesame, rye",sesame,, https://world.openfoodfacts.org/product/3184340066005/knacke-au-sesame-pural 
80, Biscuits Sesame et Epeautre Elibio," spelt flour , sesame seeds , cane sugar, sunflower oil, coconut, raising agents, salt"," sesame, spelt",sesame,, https://world.openfoodfacts.org/product/3760294960301/biscuits-sesame-et-epeautre-elibio 
81, Medium Egg Noodles Sharwood's," wheat flour, egg , salt, acidity regulator potassium carbonate"," wheat, egg","wheat, egg",, https://world.openfoodfacts.org/product/5000354910920/medium-egg-noodles-145g-sharwood-s 
82, Mayonnaise Bouton d'Or," rapeseed oil, water, egg yolks , mustard water, mustard seeds, vinegar, salt, spices, vinegar, salt, sugar, modified starch, thickener xanthan gum"," egg, mustard",egg,, https://world.openfoodfacts.org/product/3250390009313/mayonnaise-bouton-d-or 
83, Mayonnaise Kewpie," vegetable oil rapeseed, soybean, egg yolk, vinegar, salt, monosodium glutamate, spices"," egg, soybean","egg, soy",, https://world.openfoodfacts.org/product/0033357051258/mayonnaise-kewpie 
84, Organic Nut Roast Clive's," vegetables onions, carrots, parsnips, brazil nuts , cashew nuts , walnuts , pumpkin seeds, sunflower seeds, flaxseeds, sea salt, herbs, spices"," brazil nuts, cashew nuts, walnuts",tree nut,, https://world.openfoodfacts.org/product/5031102001249/organic-nut-roast-clive-s 
85, Lasagnes aux Legumes Lidl," water, vegetables zucchini, carrots, spinach, durum wheat semolina, milk, cheese, wheat flour, vegetable oil, salt, spices"," wheat, milk, cheese","wheat, milk",, https://world.openfoodfacts.org/product/4056489193784/lasagnes-aux-legumes-lidl 
86, Potato and Onion Tortilla Marks & Spencer," potatoes , egg , onions , sunflower oil, salt", egg,egg,, https://world.openfoodfacts.org/product/29155255/potato-and-onion-tortilla-marks-spencer 
87, The Complete Cookie Lenny & Larry's," enriched wheat flour, cane sugar, margarine, chocolate chips, soy protein isolate, wheat gluten, flaxseed, psyllium husk"," wheat, soy","wheat, soy",, https://world.openfoodfacts.org/product/0787692838349/the-complete-cookie-lenny-larry-s 
88, Kinder Eggs Cacao Ferrero," sugar, skimmed milk powder, vegetable fats, wheat flour, fatreduced cocoa powder, wheat starch, cocoa mass, barley malt extract, soya lecithin, sunflower oil, milk proteins, cocoa butter, flavourings"," milk, wheat, barley, soya","milk, wheat, soy",, https://world.openfoodfacts.org/product/8000500243640/kinder-eggs-cacao-x12-oeufs-fourres-ferrero 
89, Pancakes Pepites de Chocolat Le Ster," wheat flour, eggs, sugar, chocolate chips sugar, cocoa mass, cocoa butter, soya lecithin, water, skimmed milk powder, rapeseed oil, salt, raising agents"," wheat, egg, soya, milk","wheat, egg, soy, milk",, https://world.openfoodfacts.org/product/3255290253965/pancakes-pepites-de-chocolat-le-ster 
90, Egg Noodles Morrisons," wheat flour, egg , salt, paprika extract, turmeric extract"," wheat, egg","wheat, egg",, https://world.openfoodfacts.org/product/5010251562849/egg-noodles-morrisons 
91, Protein Sourdough Toasting Loaf Aldi," wheat flour, water, pea protein, soy protein, wheat gluten, sourdough, yeast, salt, barley malt flour"," wheat, soy, barley","wheat, soy",, https://world.openfoodfacts.org/product/4069365229156/protein-sourdough-toasting-loaf-aldi-specially-selected
92, Classic Margherita Mozzarella & Tomato Pizza Pizza Express," wheat flour, mozzarella cheese milk , tomato pure , water, rapeseed oil, salt, yeast, sugar, oregano"," wheat, milk","wheat, milk",, https://world.openfoodfacts.org/product/5024530005293/classic-margherita-mozzarella-tomato-pizza-pizza-express 
93, Supergreen Salad Marks & Spencer," edamame soy beans , cooked puy lentils, peas, broccoli, spinach, vinaigrette rapeseed oil, white wine vinegar, honey, lemon juice, mint", soy,soy,, https://world.openfoodfacts.org/product/00075473/supergreen-salad-marks-spencer
94, Greek Style Salad Cheese Lidl," pasteurized sheeps milk, pasteurized goats milk, salt, lactic cultures, microbial coagulant", milk,milk,, https://world.openfoodfacts.org/product/20898717/greek-style-salad-cheese-lidl 
95, Salade de Thon Mexicaine Marque Repere," tuna fish , red beans, corn, water, red peppers, onion, spirit vinegar, salt, spices", fish,fish,, https://world.openfoodfacts.org/product/3564700842058/salade-de-thon-mexicaine-marque-repere 
96, Ambrosia Rice Pudding," full cream milk, skimmed milk, whey milk, rice , sugar", milk,milk,, https://world.openfoodfacts.org/product/5000354800931/ambrosia-rice-pudding 
97,The Classic Club Sandwich Tuna And Eggs,"whole wheat bread  wheat flour , whole wheat flour , water, rapeseed oil, salt, wheat gluten, yeast, spirit vinegar, reduced fat mayonnaise  water, rapeseed oil, starch, mustard water, mustard seeds, spirit vinegar, salt, egg yolk, spirit vinegar, sugar, salt, thickener guar gum, canned skipjack tuna  skipjack tuna, water, salt, tomato , and egg  egg, acidifier citric acid","eggs, fish, gluten, mustard ","egg, fish",, https://world.openfoodfacts.org/product/3367651000016/the-classic-club-sandwich-tuna-and-eggs-daunat
98, Best Lamb Gravy Bisto," potato starch, maltodextrin, palm oil, salt, wheat flour, flavourings, lamb powder, colour ec, emulsifier soya lecithin"," wheat, soya","wheat, soy",, https://world.openfoodfacts.org/product/5000354922862/best-lamb-gravu-bisto 
99, Vegetarian Quick Cook Lamb Steaks Linda McCartney's," rehydrated textured soya protein , water, rapeseed oil, flavourings, barley malt extract, salt, garlic powder"," soya, barley",soy,, https://world.openfoodfacts.org/product/5056053309473/vegetarian-quick-cook-lamb-steaks-linda-mccartney-s  
100, Gerble No Sugar Added Apple Blackcurrant Cake," wheat flour, concentrated apple puree , rapeseed oil, blackcurrant , egg, humectant glycerol, raising agents"," wheat, egg","wheat, egg",, https://world.openfoodfacts.org/product/3175681270749/gerble-no-sugar-added-apple-blackcurrant-cake-filling-180g-6-4oz 
101, Crownfield Special Flakes Red Fruit," rice , whole grain wheat , sugar, barley malt, freeze dried fruits strawberries, cherries, raspberries, salt"," wheat, barley",wheat,, https://world.openfoodfacts.org/product/20621452/crownfield-special-flakes-red-fruit 
102, Chicken Carrot and Houmous Wholemeal Wrap Marks & Spencer," wholemeal wheat flour, cooked chicken breast , carrots , cooked chickpeas, sesame seed paste, water, lemon juice, rapeseed oil, salt"," wheat, sesame","wheat, sesame",, https://world.openfoodfacts.org/product/29320646/chicken-carrot-and-houmous-wholemeal-wrap-marks-spencer 
103, Cottage Cheese with Pineapple Longley Farm," cottage cheese milk, pineapple , sugar", milk,milk,, https://world.openfoodfacts.org/product/5010578008044/cottage-cheese-with-pineapple-longley-farm 
104, Nutella Ferrero," sugar, palm oil, hazelnuts , skimmed milk powder , fatreduced cocoa , emulsifier soya lecithin, vanillin"," hazelnuts, milk, soya","tree nut, milk, soy",, https://world.openfoodfacts.org/product/3017620425035/nutella-ferrero 
105, Authentique Wasa," whole grain rye flour, yeast, salt", rye,,, https://world.openfoodfacts.org/product/7300400481595/authentique-wasa 
106, Milka Alpine Milk Chocolate Bar," sugar, cocoa butter, skimmed milk powder, cocoa mass, whey powder milk, milk fat, emulsifier soya lecithin, hazelnut paste, flavouring"," milk, soya, hazelnut","milk, soy, tree nut",, https://world.openfoodfacts.org/product/3045140105502/milka-alpine-milk-chocolate-bar 
107, 5% Greek Yogurt Fage," pasteurized skimmed milk, cream milk, live active yogurt cultures", milk,milk,, https://world.openfoodfacts.org/product/5201054017432/5-greek-yogurt-fage 
108, Cookies Biscuits Lotus Biscoff," wheat flour, sugar, vegetable oils palm, rapeseed, candy sugar syrup, raising agent sodium hydrogen carbonate, soya flour, salt, cinnamon"," wheat, soya","wheat, soy",, https://world.openfoodfacts.org/product/5410126716016/cookies-biscuits-lotus-biscoff
109, Real Mayonnaise Stokes," rapeseed oil , whole egg , water, spirit vinegar, sugar, sea salt, mustard flour"," egg, mustard",egg,, https://world.openfoodfacts.org/product/5060092690331/real-mayonnaise-stokes 
110, Original Pringles," dehydrated potatoes, vegetable oils sunflower, corn, rice flour, wheat starch, corn flour, emulsifier e, maltodextrin, salt, yeast extract", wheat,wheat,, https://world.openfoodfacts.org/product/5053990127726/original-pringles 
111, Muesli Crunchy 0 Hacendado," whole grain oat flakes , sweetener maltitol, palm fat, flour wheat, rye, coconut, salt, flavorings"," wheat, rye",wheat,, https://world.openfoodfacts.org/product/8402001010873/muesli-crunchy-0-hacendado 
112, Chocapic Cereals Nestle," whole grain wheat , sugar, wheat flour, maize semolina, cocoa powder, barley malt extract, sunflower oil, salt, emulsifier sunflower lecithin, flavorings"," wheat, barley",wheat,, https://world.openfoodfacts.org/product/7613034626844/chocapic-cereals-nestle 
113, Youwefit Omega 3 1250 Fish Oil," fish oil anchovy, sardine, mackerel, gelatin, glycerin, purified water", fish,fish,, https://world.openfoodfacts.org/product/8904463100357/youwefit-omega-3-1250-fish-oil-capsule-triple-strength-youwefit-is-sold-by-wellversed
114, Bacalao Ajoarriero Aldi," atlantic cod fish , tomato, onion, red pepper, sunflower oil, garlic, salt, sugar", fish,fish,, https://world.openfoodfacts.org/product/4068263063510/bacalao-ajoarriero-aldi-specially-selected 
115, Cold Smoked Salmon Nautica," atlantic salmon fish, salt", fish,fish,, https://world.openfoodfacts.org/product/20034658/cold-smoked-salmon-nautica 
116, Salmon Fillets Tesco, atlantic salmon fish , fish,fish,, https://world.openfoodfacts.org/product/5057373699688/salmon-fillets-tesco 
